caliper,caliper_absolute,max_abs_smd,retention,n_matched
2.0,2.4528067601627526,0.34421334615844273,0.8949494949494949,443
1.5,1.8396050701220643,0.25946070635945717,0.8222222222222222,407
1.0,1.2264033800813763,0.13311566905007355,0.7292929292929293,361
0.9,1.1037630420732387,0.11975075884537587,0.7090909090909091,351
0.8,0.981122704065101,0.10592095688894665,0.6868686868686869,340
0.7,0.8584823660569634,0.09723200599986169,0.6646464646464646,329
0.6,0.7358420280488257,0.08170105290901535,0.6424242424242425,318
0.5,0.6132016900406881,0.07785459081735192,0.6222222222222222,308
0.45,0.5518815210366194,0.0718246585776912,0.6181818181818182,306
0.35,0.4292411830284817,0.06053174290722191,0.6,297
0.15,0.18396050701220643,0.048042267985353077,0.5878787878787879,291
